"Enabled", "Įjungta"
"Title", "Pavadinimas"
"API User Password", "API vartotojo slaptažodis"
"Test Mode", "Testavimo režimas"
"API User ID", "API vartotojo ID"
"Baltic Post User ID", "Baltic Post vartotojo ID"
"Baltic Post PIN", "Baltic Post PIN"
"Baltic Post Admin PIN", "Baltic Post Administratoriaus PIN"
"Partner Key", "Partnerio raktas"
"Allowed methods", "Leidžiami siuntimo būdai"
"To Nearest Post Office", "Į artimiausią pašto skyrių"
"To Terminal", "Į terminalą"
"Courier", "Per kurjerį"
"Terminal Shipping Type", "Terminalo siuntimo būdas"
"Home Shipping Type", "Kurjerio siuntimo būdas"
"Overseas Shipping Type", "Siuntimo į užsienį siuntimo būdas"
"To Post Office Price", "Pašto skyriaus kaina"
"Go to http://api.balticpost.lt/docs/content/products.html for more information", "Daugiau informacijos rasite http://api.balticpost.lt/docs/content/products.html"
"Label Format", "Lipduko formatas"
"Default Box Size", "Numatytas dėžutės dydis"
"Export Price vs Weight", "Eksportuoti kainą pagal svorį"
"Import Price vs Weight", "Importuoti kainą pagal svorį"
"Courier Price", "Kurjerio kaina"
"Leave empty if you want to use Price vs Weight table.", "Palikite tuščią jeigu norite naudoti kainų pagal svorį lentele"
"Export Price vs Country", "Eksportuoti kainą pagal šalis"
"Import Price vs Country", "Importuoti kainą pagal šalis"
"Overseas price table.", "Siuntimo į užsienį kainų lentelė"
"Overseas Price", "Siuntimo į užsienį kaina"
"Leave empty if you want to use CSV prices.", "Palikite tuščią jeigu norite naudoti siuntimo į užsienį kainų lentele"
"Ship to Applicable Countries", "Siųsti į galimas šalis"
"Ship to Specific Countries", "Siųsti į atrinktas šalis"
"Sort Order", "Rikiavimas"
"Country", "Šalis"
"Price", "Kaina"
"Weight To", "Svoris Iki"
"Courier Price", "Siuntimo per kurjerį kaina"
"Terminal Price", "Siuntimo per terminalą kaina"
"Post Office Price", "Siuntimo į pašto skyrių kaina"
"Export CSV", "Eksportuoti CSV"
"LP Express thrown an error: $1", "LP Express klaida: $1"
"You can't create LP Express shipping labels for order $1", "Užsakymui $1 lipduko sukurti negalima."
"You created the shipping labels.", "Lipdukai sukurti sėkmingai."
"Package weight is too large. Limit is $1 $2", "Pakuotės svoris per didelis. Limitas yra $1 $2"
"Please select LP Express terminal.", "Prašome pasirinkti LP Express terminalą."
"Invalid post code", "Neteisingas pašto kodas"
"Post code does not exist", "Pašto kodas neegzistuoja"
"No post office found.", "Pašto skyrius nerastas"
"Please input a valid postcode.", "Prašome patikrinti pašto kodą"
"Something wen't wrong here..", "Įvyko nenumatyta klaida.."
"Terminal", "Terminalas"
"Post Office", "Pašto skyrius"
"LP Express: Weight cell in the csv file cannot be empty.", "LP Express: Svorio laukelis importuojamame dokumente negali būti tuščias."
"LP Express: Error. Please check for weight duplicates in the csv file.", "LP Express: Prašome patikrinti ar nėra svorio dublikatų importuojamame dokumente."
"Failed to get LP Express terminal list. Please check your credentials and try again.", "Nepavyko atsiųsti LP Express terminalų. Prašome patikrinti autorizacijos duomenis ir mėginti dar kartą."
"Nearest post office:", "Artimiausias pašto skyrius:"
"Terminal:", "Terminalas:"
"Generate LP Express Label", "Generuoti LP Express lipduką"
"LP Express Label", "LP Express lipdukas"
"Are you sure you want to create shipping labels for selected items?", "Ar tikrai norite generuoti lipdukus pasirinktiems užsakymams?"
"Generate LP Express Manifest", "Generuoti LP Express manifestą"
"LP Express Manifest", "LP Express manifestas"
"Are you sure you want to create manifest for selected items?", "Ar tikrai norite generuoti manifestą pasirinktiems užsakymams?"
"Please select LP Express terminal..", "Prašome pasirinkti LP Express terminalą.."
"Nearest post office: ", "Artimiausias pašto skyrius: "
"LP Express Terminal", "LP Express terminalas"
"Parcel picked up from post office","Siunta paimta iš Lietuvos pašto skyriaus"
"Parcel accepted from sender","Siunta priimta iš siuntėjo"
"Parcel delivered to post office","Siunta pristatyta į Lietuvos pašto skyrių"
"Parcel delivered","Siunta įteikta gavėjui"
"Parcel delivery failed","Siuntos įteikti nepavyko"
"Parcel exported abroad","Siunta išsiųsta iš Lietuvos"
"Parcel passed for delivery","Siunta perduota kurjeriui įteikimui"
"Parcel returned","Siunta grąžinta"
"Parcel returning","Siunta grąžinama"
"Parcel passed for destroy","Siunta perduota sunaikimui"
"Parcel received in sorting center","Siunta priimta skirstymo centre"
"Parcel dispatched to another sorting center","Siunta vežama į kitą skirstymo centrą"
"Parcel accepted from sender","Siunta priimta iš siuntėjo"
"Parcel in sorting centre","Siunta skirstymo centre"
"Parcel exported from Lithuania","Siunta išsiųsta iš Lietuvos"
"Parcel in recipient’s country","Siunta gavėjo valstybėje"
"Parcel at recipient’s country customs","Siunta gavėjo valstybės muitinėje"
"Parcel sent to recipient‘s post office","Siunta išsiųsta į gavėjo pašto skyrių"
"Parcel at recipient‘s post office","Siunta gavėjo pašto skyriuje"
"Unsuccessful delivery attempt","Bandymas pristatyti nesėkmingas"
"Parcel delivered to recipient","Siunta įteikta gavėjui"
"Parcel delivered to self service terminal","Siunta pristatyta į siuntų savitarnos terminalą"
"Label cancelled","Siuntos žyma atšaukta"
"Label created","Sukurta siuntos žyma"
"Parcel not picked up by recipient","Siuntos įteikti nepavyko"
"Parcel was received in the post office","Siunta gauta Lietuvos pašto skyriuje"
"Parcel delivered to self service terminal","Siunta pristatyta į siuntų savitarnos terminalą"
"Parcel dropped at self service terminal for shipment","Siunta įdėta į siuntų savitarnos terminalą išsiuntimui"
"Parcel picked up by recipient","Siunta įteikta gavėjui"
"Parcel picked up from self service terminal by courier","Siunta paimta kurjerio iš siuntų savitarnos terminalo"
